ID,Categoria,Nivel,Pregunta,Respuesta_Esperada,Respuesta_Obtenida,Fuentes,Num_Fuentes,No_Tiene_Info,Exactitud,Cobertura,Claridad,Citas,Alucinacion,Seguridad,Score_R,Timestamp
Q001,conceptos_basicos,basico,"¿Qué es la Inteligencia Artificial?","Campo de la informática que desarrolla sistemas capaces de realizar tareas que normalmente requieren inteligencia humana, como aprendizaje, razonamiento y resolución de problemas.","La Inteligencia Artificial (IA) es un campo de la informática que se enfoca en el desarrollo de sistemas y tecnologías capaces de realizar tareas que normalmente requieren inteligencia humana. Estos sistemas pueden aprender, razonar, planificar, percibir el entorno, reconocer patrones y tomar decisiones de manera autónoma. La IA se basa en algoritmos y modelos matemáticos que permiten a las máquinas simular procesos cognitivos humanos.  En términos más simples, la IA busca emular la inteligencia","Universidad de Caldas - Departamento de Ingeniería de Sistemas y Computación",1,false,0.467,0.533,1,1,0,1,0.57,2025-12-03T02:22:44.634Z
Q002,conceptos_basicos,intermedio,"¿Cuál es la diferencia entre IA débil e IA fuerte?","IA débil (narrow AI) está diseñada para tareas específicas, mientras que IA fuerte (general AI) tendría capacidades cognitivas generales comparables a las humanas.","La diferencia entre la inteligencia artificial débil y la inteligencia artificial fuerte radica en su capacidad para simular la inteligencia humana de manera general. La inteligencia artificial débil se refiere a sistemas diseñados para realizar tareas específicas de manera eficiente, sin poseer una comprensión o conciencia real. Por otro lado, la inteligencia artificial fuerte se refiere a sistemas capaces de comprender, aprender y razonar de manera similar a los seres humanos, lo que implica u","",0,true,0.143,1,0.85,0,0.5,1,0.278,2025-12-03T02:22:44.634Z
Q003,historia,basico,"¿Quién acuñó el término Inteligencia Artificial y en qué año?","John McCarthy acuñó el término en 1956 durante la Conferencia de Dartmouth.","No tengo información suficiente en mi base de conocimientos para responder esta pregunta con precisión.","",0,true,0.1,0,0.7,1,0,1,0.29,2025-12-03T02:22:44.634Z
Q004,historia,intermedio,"¿Qué fue el invierno de la IA?","Períodos (principalmente años 70s y finales 80s) de reducción drástica en financiamiento e interés en IA debido a expectativas no cumplidas y limitaciones técnicas.","El ""invierno de la IA"" se refiere a períodos en la historia de la inteligencia artificial en los que hubo un declive significativo en el interés, la financiación y el progreso en el campo de la IA. El término se originó a partir de dos períodos anteriores de desilusión con la IA, uno en la década de 1970 y otro en la década de 1980, cuando las expectativas iniciales sobre el potencial de la inteligencia artificial no se cumplieron y se produjo un retroceso en la investigación y el desarrollo e","Historia de la inteligencia artificial - Universidad de Caldas, El invierno de la inteligencia artificial - Documento de investigación",2,false,0.25,1,1,1,0,1,0.587,2025-12-03T02:22:44.634Z
Q005,ml_clasico,intermedio,"¿Qué es un árbol de decisión en Machine Learning?","Modelo de aprendizaje supervisado que toma decisiones mediante una estructura de árbol donde cada nodo representa una prueba sobre un atributo y las hojas representan las decisiones finales.","Un árbol de decisión en Machine Learning es un modelo predictivo que se utiliza para representar y tomar decisiones basadas en una secuencia de reglas lógicas. Se compone de nodos que representan condiciones o preguntas sobre las características de los datos, y de ramas que representan las posibles respuestas a esas preguntas. Al seguir el camino desde el nodo raíz hasta las hojas, se puede llegar a una decisión o predicción sobre un determinado valor objetivo.  En un árbol de decisión, cada nod","machine_learning_book.pdf",1,false,0.475,1,1,1,0,1,0.666,2025-12-03T02:22:44.634Z
Q006,ml_clasico,avanzado,"¿Cómo funciona el algoritmo de Support Vector Machine (SVM)?","SVM encuentra el hiperplano óptimo que maximiza el margen entre clases en un espacio de características, pudiendo usar kernels para clasificación no lineal.","El algoritmo de Support Vector Machine (SVM) es un método de aprendizaje supervisado utilizado para clasificación y regresión. Su funcionamiento se basa en encontrar el hiperplano óptimo que mejor separa las clases en un espacio de características de alta dimensión. El objetivo es encontrar el hiperplano que maximiza el margen entre las clases, es decir, la distancia entre el hiperplano y los puntos más cercanos de cada clase, conocidos como vectores de soporte.  En SVM, se busca un hiperplano d","",0,true,0.969,1,1,0.3,0.5,1,0.649,2025-12-03T02:22:44.634Z
Q007,deep_learning_llms,intermedio,"¿Qué es un transformer en el contexto de deep learning?","Arquitectura de red neuronal basada en mecanismos de atención que procesa secuencias en paralelo, base de modelos como GPT y BERT.","En el contexto de deep learning, un Transformer es un modelo de red neuronal que se ha vuelto muy popular en tareas de procesamiento del lenguaje natural (NLP). Fue introducido por Vaswani et al. en 2017 y se destaca por su capacidad para capturar relaciones de largo alcance en secuencias de datos, sin depender de estructuras recurrentes o convolucionales.  El Transformer se basa en un mecanismo de atención que permite a la red enfocarse en diferentes partes de la entrada durante el proceso de a","",0,true,0.867,1,1,0.3,0.5,1,0.613,2025-12-03T02:22:44.635Z
Q008,deep_learning_llms,avanzado,"¿Qué es el fine-tuning en Large Language Models?","Proceso de ajustar un modelo preentrenado con datos específicos de una tarea o dominio para mejorar su desempeño en aplicaciones particulares.","El fine-tuning en Large Language Models se refiere a un proceso en el que un modelo pre-entrenado, como GPT-3 de OpenAI o BERT de Google, se ajusta o adapta a una tarea específica o dominio de datos particulares. Estos modelos pre-entrenados son entrenados en grandes cantidades de datos textuales genéricos para aprender representaciones lingüísticas generales. Sin embargo, para tareas específicas como traducción, resumen de texto o análisis de sentimientos, es necesario adaptar el modelo pre-ent","OpenAI Blog - Fine-Tuning in Large-Scale Language Models",1,false,0.6,1,0.9,1,0,1,0.695,2025-12-03T02:22:44.635Z
Q009,etica_regulacion,intermedio,"¿Qué es el AI Act de la Unión Europea?","Marco regulatorio que clasifica sistemas de IA según riesgo y establece requisitos de transparencia, seguridad y derechos fundamentales.","El AI Act es una propuesta de regulación de la Unión Europea para el uso de la inteligencia artificial en la sociedad. Se trata de un marco legislativo que busca establecer normas claras y éticas para el desarrollo y despliegue de sistemas de inteligencia artificial en la región.  El objetivo principal del AI Act es garantizar la seguridad y los derechos de los ciudadanos europeos en el contexto de la IA. Este acto propone una serie de requisitos y obligaciones para los desarrolladores y usuario","Documento oficial de la Unión Europea sobre el AI Act",1,false,0.9,1,1,1,0,1,0.815,2025-12-03T02:22:44.635Z
Q010,aplicaciones,basico,"¿Cuáles son tres aplicaciones comunes de IA en la vida cotidiana?","Asistentes virtuales (Siri, Alexa), sistemas de recomendación (Netflix, Spotify) y reconocimiento facial en smartphones.","Tres aplicaciones comunes de la Inteligencia Artificial en la vida cotidiana son:  1. **Asistentes de voz y chatbots**: Los asistentes virtuales como Siri, Alexa, Google Assistant y chatbots en sitios web utilizan IA para comprender y responder a las consultas de los usuarios. Estos sistemas emplean procesamiento del lenguaje natural y aprendizaje automático para interpretar el lenguaje humano y proporcionar respuestas útiles.  2. **Recomendaciones personalizadas**: Plataformas como Netflix, Spo","",0,true,0.632,0.825,0.85,0,0.5,1,0.414,2025-12-03T02:22:44.635Z
