ID,Categoria,Nivel,Pregunta,Respuesta_Esperada,Respuesta_Obtenida,Fuentes,Num_Fuentes,No_Tiene_Info,Exactitud,Cobertura,Claridad,Citas,Alucinacion,Seguridad,Score_R,Timestamp
Q001,conceptos_basicos,basico,"¿Qué es la Inteligencia Artificial?","Campo de la informática que desarrolla sistemas capaces de realizar tareas que normalmente requieren inteligencia humana, como aprendizaje, razonamiento y resolución de problemas.","La Inteligencia Artificial (IA) se refiere a la capacidad de las máquinas para imitar la inteligencia humana y realizar tareas que normalmente requieren de la intervención humana. Según un documento titulado ""Aproximación desde la Inteligencia Artificial a los comportamientos poco predictivos derivados de modelos cognitivos artificiales"", se destaca que en el desarrollo de algoritmos para generar el comportamiento de agentes inteligentes, se busca que dicho comportamiento sea interpretable par","doc_004_AI_Cognitive_Models.pdf",1,false,0.44,0.533,1,1,0,1,0.561,2025-11-23T23:01:09.637Z
Q002,conceptos_basicos,intermedio,"¿Cuál es la diferencia entre IA débil e IA fuerte?","IA débil (narrow AI) está diseñada para tareas específicas, mientras que IA fuerte (general AI) tendría capacidades cognitivas generales comparables a las humanas.","La diferencia entre IA débil e IA fuerte radica en su capacidad y alcance de funcionamiento:  - **IA Débil**: También conocida como inteligencia artificial estrecha, se refiere a sistemas de IA diseñados para realizar tareas específicas y limitadas. Estos sistemas no poseen la capacidad de llevar a cabo actividades fuera de su ámbito predefinido y no tienen conciencia ni comprensión del mundo. Son especializados y dependen en gran medida de instrucciones detalladas para operar eficazmente.  - **","Aproximación desde la Inteligencia Artificial a los comportamientos poco predictivos derivados de modelos cognitivos artificiales, Vélez-Bedoya, J.I., Castillo-Ossa, L.F., González-Bedia, M.",1,false,0.557,1,1,1,0,1,0.695,2025-11-23T23:01:09.637Z
Q003,historia,basico,"¿Quién acuñó el término Inteligencia Artificial y en qué año?","John McCarthy acuñó el término en 1956 durante la Conferencia de Dartmouth.","El término ""Inteligencia Artificial"" fue acuñado por John McCarthy en el año 1956. McCarthy fue un destacado científico de la computación y pionero en el campo de la Inteligencia Artificial. Su trabajo y contribuciones fueron fundamentales para el desarrollo y la popularización de este campo de estudio.  **Referencias:** - [Fuente: doc_005_Teoria_Mente_Corporizada.pdf]","doc_005_Teoria_Mente_Corporizada.pdf",1,false,0.433,1,1,1,0,1,0.652,2025-11-23T23:01:09.637Z
Q004,historia,intermedio,"¿Qué fue el invierno de la IA?","Períodos (principalmente años 70s y finales 80s) de reducción drástica en financiamiento e interés en IA debido a expectativas no cumplidas y limitaciones técnicas.","El ""Invierno de la IA"" se refiere a un período en el que el interés y el progreso en el campo de la Inteligencia Artificial disminuyeron significativamente. Durante este tiempo, se experimentó una desaceleración en el avance de la IA y la reducción de la financiación para proyectos relacionados con esta disciplina.  En el contexto de la Inteligencia Artificial, se menciona que recientemente ha surgido un interés significativo en la comunidad de la robótica y la planificación en el desarrollo d","doc_004_AI_Cognitive_Models.pdf, doc_006_Digital_Skills_AI_Tools.pdf",2,false,0.067,1,1,1,0,1,0.523,2025-11-23T23:01:09.638Z
Q005,ml_clasico,intermedio,"¿Qué es un árbol de decisión en Machine Learning?","Modelo de aprendizaje supervisado que toma decisiones mediante una estructura de árbol donde cada nodo representa una prueba sobre un atributo y las hojas representan las decisiones finales.","Un árbol de decisión en Machine Learning es un modelo predictivo que se utiliza para representar y tomar decisiones basadas en una secuencia de reglas. Está compuesto por nodos que representan decisiones, ramas que representan las posibles salidas de esas decisiones y hojas que representan los resultados finales. Este tipo de modelo es especialmente útil para problemas de clasificación y regresión, ya que permite visualizar de manera intuitiva cómo se toman las decisiones en función de las carac","doc_004_AI_Cognitive_Models.pdf",1,false,0.65,1,1,1,0,1,0.728,2025-11-23T23:01:09.638Z
Q006,ml_clasico,avanzado,"¿Cómo funciona el algoritmo de Support Vector Machine (SVM)?","SVM encuentra el hiperplano óptimo que maximiza el margen entre clases en un espacio de características, pudiendo usar kernels para clasificación no lineal.","El algoritmo de Support Vector Machine (SVM) es un método de aprendizaje supervisado utilizado para clasificación y regresión. En el contexto de un estudio realizado, se menciona que se compararon varios algoritmos de aprendizaje automático, incluyendo el clasificador de vectores de soporte lineal (SVC), regresión logística (LR), análisis discriminante lineal (LDA), vecinos más cercanos (KNN), clasificador bayesiano ingenuo (NB), perceptrón multicapa (MLP), árboles de decisión (DT) y bosques ale","Processes_AI_Industrial.pdf",1,false,0.908,1,1,1,0,1,0.818,2025-11-23T23:01:09.638Z
Q007,deep_learning_llms,intermedio,"¿Qué es un transformer en el contexto de deep learning?","Arquitectura de red neuronal basada en mecanismos de atención que procesa secuencias en paralelo, base de modelos como GPT y BERT.","En el contexto de deep learning, un ""transformer"" se refiere a una innovadora aproximación en visión por computadora conocida como Vision Transformer (ViT). Los Vision Transformers son un enfoque revolucionario que ha ganado popularidad recientemente debido a su impresionante rendimiento en diversas tareas. A diferencia de las redes neuronales convolucionales tradicionales (CNN), que dependen de mapas de características diseñados manualmente, los vision transformers utilizan mecanismos de auto","doc_007_PeerJ_AI_Applications.pdf",1,false,0.462,1,1,1,0,1,0.662,2025-11-23T23:01:09.638Z
Q008,deep_learning_llms,avanzado,"¿Qué es el fine-tuning en Large Language Models?","Proceso de ajustar un modelo preentrenado con datos específicos de una tarea o dominio para mejorar su desempeño en aplicaciones particulares.","El fine-tuning en Large Language Models se refiere al proceso de ajustar un modelo de lenguaje preentrenado para adaptarlo a una tarea específica o dominio de interés. Este proceso implica tomar un modelo de lenguaje general, como BERT o GPT, y continuar el entrenamiento con datos específicos y etiquetados para mejorar su desempeño en una tarea particular.  Durante el fine-tuning, se ajustan los pesos del modelo preentrenado mediante el uso de datos adicionales y técnicas de optimización para qu","Processes_AI_Industrial.pdf",1,false,0.517,1,1,1,0,1,0.681,2025-11-23T23:01:09.638Z
Q009,etica_regulacion,intermedio,"¿Qué es el AI Act de la Unión Europea?","Marco regulatorio que clasifica sistemas de IA según riesgo y establece requisitos de transparencia, seguridad y derechos fundamentales.","El AI Act de la Unión Europea es una legislación propuesta que busca regular el uso de la inteligencia artificial en la Unión Europea. Esta normativa tiene como objetivo establecer un marco ético y legal para garantizar un uso seguro y ético de la inteligencia artificial en diversos sectores.  El AI Act aborda aspectos clave como la transparencia, la responsabilidad, la supervisión y el control de los sistemas de inteligencia artificial. Busca proteger los derechos fundamentales de los ciudadano","doc_014_Springer_AI_ML_Review.pdf, doc_016_Constitucion_Colombia_2024.pdf",2,false,0.567,1,1,1,0,1,0.698,2025-11-23T23:01:09.639Z
Q010,aplicaciones,basico,"¿Cuáles son tres aplicaciones comunes de IA en la vida cotidiana?","Asistentes virtuales (Siri, Alexa), sistemas de recomendación (Netflix, Spotify) y reconocimiento facial en smartphones.","En la vida cotidiana, la Inteligencia Artificial (IA) se ha integrado en diversas aplicaciones que impactan directamente en nuestra calidad de vida. Tres aplicaciones comunes de la IA son:  1. **Sector de la Salud**: La IA está siendo utilizada en el sector de la salud para mejorar la atención médica, diagnósticos más precisos y personalizados, identificación de patrones en grandes conjuntos de datos médicos, y en la investigación de enfermedades. Estos sistemas basados en IA pueden contribuir s","",0,true,0.186,0.475,1,0.3,0.5,1,0.27,2025-11-23T23:01:09.639Z
